id,Stamp,x_global,y_global,vx_global,vy_global,v
2,19.400009870529175,3798.5812,2547.2222,-6.1497,6.9607,33.43742219963734
1,19.400009870529175,3817.6758,2532.3957,-7.6577,8.5236,41.24979946860348
2,19.51000142097473,3797.8973,2547.8146,-6.2914,6.6152,32.865177644430894
1,19.51000142097473,3816.8887,2533.2718,-7.6577,8.5236,41.24979946860348
2,19.60000514984131,3797.1888,2548.6192,-6.355,6.7811,33.45663872898173
1,19.60000514984131,3816.0384,2534.2182,-7.6577,8.5236,41.24979946860348
2,19.71001935005188,3796.6637,2549.3441,-6.2635,7.1016,34.08881702754732
1,19.71001935005188,3815.3628,2534.9701,-7.6577,8.5236,41.24979946860348
2,19.81005048751831,3795.7338,2550.0565,-6.5307,6.7784,33.88530459783415
1,19.81005048751831,3814.3181,2536.0387,-7.8522,8.555,41.80421157163953
2,19.910030841827393,3795.1486,2550.5538,-6.6718,6.6587,33.933929393054385
1,19.910030841827393,3813.6821,2536.7316,-7.8522,8.555,41.80421157163953
2,20.000006675720215,3794.5527,2551.4632,-6.4136,7.2727,34.90820155837307
1,20.000006675720215,3812.8768,2537.609,-7.8522,8.555,41.80421157163953
2,20.100008964538574,3793.9006,2552.0632,-6.5619,7.1002,34.80501367021711
1,20.100008964538574,3812.0948,2538.5448,-8.0241,8.977,43.34566090322768
2,20.20002055168152,3793.3077,2552.4704,-6.4402,6.381,32.637794779034934
1,20.20002055168152,3811.3183,2539.4135,-8.0241,8.977,43.34566090322768
2,20.310017824172974,3792.5765,2553.3775,-6.4539,6.8434,33.86391790769639
1,20.310017824172974,3810.441,2540.3567,-7.8886,8.7009,42.280566377228205
2,20.410016536712646,3791.8351,2554.031,-6.8198,6.8761,34.86436411753411
1,20.410016536712646,3809.5409,2541.3503,-8.5164,9.3963,45.65326947266756
2,20.510008335113525,3791.1483,2554.7987,-6.6568,6.8763,34.45417947902402
1,20.510008335113525,3808.8802,2542.0834,-7.3902,8.1705,39.66084664651525
2,20.610008239746094,3790.6386,2555.4573,-6.4569,7.0325,34.36965341148497
1,20.610008239746094,3808.2312,2542.8009,-7.3902,8.1705,39.66084664651525
2,20.700024843215942,3790.0054,2556.2159,-6.4019,7.148,34.544664274321725
1,20.700024843215942,3807.4812,2543.63,-7.3902,8.1705,39.66084664651525
2,20.800004959106445,3789.3531,2556.7905,-6.5992,6.9378,34.47035426073831
1,20.800004959106445,3806.8092,2544.373,-7.3902,8.1705,39.66084664651525
2,20.90001344680786,3788.7285,2557.4889,-6.4666,6.8907,34.01926895405014
